,Year,fossil_emissions,land-use_change,atmospheric_growth,ocean_sink,land_sink,cement_carbonation,budget_imbalance,total_carbon
24,1983,5.18737435146172,1.31136666666667,3.88692,2.00809588695238,0.281260988036859,0.0471381005378262,0.275326042601325,6.49874101812839
25,1984,5.3670179608478,1.44816666666667,2.61252,1.86830383146083,2.88658397534779,0.0485852243794119,-0.600808403673563,6.81518462751447
26,1985,5.54734901618979,1.38656666666667,3.5046,1.77531177596928,2.76571964532625,0.0499759662885234,-1.16169170472759,6.93391568285646
27,1986,5.6297375794556,1.39646666666667,2.16648,1.82601972047772,2.30688363249801,0.0523493876870687,0.674471505459464,7.026204246122271
28,1987,5.80619655674873,1.39543333333333,5.6286,1.91722766498617,0.352741891509279,0.0548036450995329,-0.751743311512921,7.20162989008206
29,1988,6.03378684012447,1.3806,4.60908,1.79333560949462,2.06046606392347,0.0580889659111136,-1.10658379920474,7.41438684012447
30,1989,6.11637596249755,1.32883333333333,3.10104,1.81904355400307,3.56962838737569,0.0580505440032111,-1.10255318955108,7.44520929583088
31,1990,6.21110275671503,1.33113333333333,2.59128,2.01466695899434,2.33229127280468,0.0574992473060748,0.546498610943271,7.54223609004836
32,1991,6.34410637212458,1.29836666666667,1.593,2.12404241784767,2.25360122070645,0.0610078533176121,1.61082154691951,7.64247303879125
33,1992,6.16267014227852,1.3348,1.52928,2.26741593346866,2.25557031633845,0.0618987727368399,1.38330511973457,7.4974701422785195
34,1993,6.22622811723157,1.3309,2.61252,2.22034429303312,2.86067079667421,0.066118868099495,-0.202525840575245,7.55712811723157
35,1994,6.26896789210917,1.44536666666667,3.52584,2.01265262264573,1.46632260857415,0.0697846206975895,0.639734706858361,7.71433455877584
36,1995,6.40248718986896,1.4433,4.248,1.99807000537964,1.77215507310752,0.0735544517031387,-0.245992340321335,7.84578718986896
37,1996,6.59371786894726,1.44243333333333,2.2302,2.00571798477852,3.39832232247871,0.0764517567913353,0.325459138232025,8.036151202280589
38,1997,6.63280104471739,1.9391,4.18428,2.15571026442363,3.18508211307557,0.0794138167257656,-1.03258514950759,8.571901044717391
39,1998,6.60842262917237,1.49746666666667,6.03216,2.20026910332558,1.50566226731339,0.080380303024705,-1.71258237782463,8.10588929583904
40,1999,6.75010599591586,1.4981,2.82492,1.96591398181155,3.59411318938494,0.0833406725353635,-0.220081847815985,8.24820599591586
41,2000,6.94694927363421,1.39626666666667,2.655,1.91137515050919,3.74679893326261,0.0866504359527895,-0.0566085794237197,8.34321594030088
42,2001,7.00547170464104,1.2934,3.9294,1.81876360347822,2.38449741667802,0.0894187521424496,0.0767919323423452,8.29887170464104
43,2002,7.17277223472565,1.413,5.03388,2.17332106307418,0.985490891856943,0.0941013670789653,0.298978912715559,8.585772234725649
44,2003,7.54683309297646,1.5428,4.86396,2.31434422480878,2.31234872400622,0.101062173664588,-0.502082029503128,9.08963309297646
45,2004,7.81569187678275,1.4635,3.2922,2.27483408525123,3.46595741061891,0.108092599070292,0.138107781842316,9.27919187678275
46,2005,8.08258795197304,1.2873,5.24628,2.32879298861134,1.87844502483186,0.115475489184847,-0.199105550655013,9.36988795197304
47,2006,8.34964977826972,1.38463333333333,3.75948,2.42536740868514,3.11429057141701,0.125646471617997,0.309498659882903,9.73428311160305
48,2007,8.59901451967724,1.21096666666667,4.50288,2.3647189721045,2.70905649355986,0.13535994557181,0.0979657751077472,9.80998118634391
49,2008,8.75705139786652,1.2672,3.78072,2.38159234981908,3.62978910180409,0.140050694813905,0.0920992514294401,10.024251397866522
50,2009,8.61463719766103,1.37383333333333,3.35592,2.53579497757644,2.98573311478525,0.147301266982524,0.963721171650152,9.98847053099436
51,2010,9.105989764136,1.32033333333333,5.14008,2.5109478815826,3.32147353108759,0.156527323061129,-0.702705638261977,10.42632309746933
52,2011,9.41239400064028,1.35483333333333,3.56832,2.55471836612859,4.10907352729226,0.169466483601727,0.365648956951039,10.76722733397361
53,2012,9.55411233113644,1.3174,5.11884,2.62277894292827,2.3154676739358,0.17636466374865,0.638061050523719,10.87151233113644
54,2013,9.63952009391741,1.26313333333333,5.2038,2.64750830886266,3.55847278871086,0.184867662581433,-0.691995332904212,10.90265342725074
55,2014,9.71002586624477,1.34216666666667,4.33296,2.78288881386736,3.6634189627685,0.193115499652445,0.079809256623133,11.052192532911441
56,2015,9.70484872677052,1.4699,6.2658,2.84664343239293,2.00866967113658,0.195190052084229,-0.141554428843219,11.17474872677052
57,2016,9.6954675797892,1.23576666666667,6.03216,2.98161340562143,2.69354872101325,0.198043401336142,-0.974131281514968,10.93123424645587
58,2017,9.8517301516918,1.1823,4.54536,2.85482773529261,3.55500357682817,0.202926853294336,-0.124088013723315,11.0340301516918
59,2018,10.0509024563856,1.1412,5.03388,2.9472314780068,3.64743461368551,0.209701778108699,-0.646145413415374,11.1921024563856
60,2019,10.1207857448634,1.2438,5.43744,2.99475620840068,3.04194916101989,0.214001696774854,-0.323561321332004,11.364585744863401
61,2020,9.62447754735439,1.10746666666667,4.9914,2.99811516540625,3.10513662069078,0.220562555280227,-0.583270127356193,10.731944214021059
62,2021,10.1320552271389,1.07506666666667,5.22504,2.87951153206182,3.45034685641168,0.229794955850857,-0.57757145051883,11.20712189380557
